Title,Storyline
1670. Young Werther,"Werther, a carefree and charming young writer, stumbles across the love of his life only to find out she's engaged. Against his best friend's urgings, Werther turns his world upside down in a misguided and hilarious quest to win her heart."
1671. Eagle,A journalist uncovers the story of a ruthless assassin when she investigates a government cover up.
1672. The Wild Blade of Strangers,"In a power struggle, the Prince of Qi executes the Crown Prince's heir. Charcoal seller Tian Anye gets entangled, revealing his past and truth about Liang City's deceased residents amid chaos of foes and allies."
1673. Noah's Ark,Tom and Vini are two bohemian mice who stow away on Noah's Ark. They must use their musical talents to enter a competition and help maintain peace among the animals.
1674. The Ballad of Suzanne Césaire,"An actress, three months post-partum, reads through fragments of the archive of Suzanne Césaire as she prepares to perform excerpts of the writer's work."
1675. Sengkolo: Malam satu suro,"In Javanese culture, Sengkolo is a negative entity that often haunts humans, brings bad luck and brings disaster. On the first night of Suro, Sengkolo moved to target several weton who were his prey."
1676. All the Long Nights,"Misa, battling PMS and stigma, starts anew at Kurita Optics. Amidst work and sweets, she meets Takatoshi. Despite his quiet demeanor and struggle with panic attacks, a deep bond forms."
1677. Bleeding,"In a world where vampire blood is harvested as a drug, two desperate teenagers on the run from a vicious dealer break into an empty house and find a sleeping girl locked inside."
1678. No Chains No Masters,"Massamba and his daughter Mati, slaves on Eugène Larcenet's plantation, hatch a daring plan to escape slavery, braving numerous obstacles in their pursuit of freedom."
1679. Identity,The main character recovers consciousness after a terrifying accident and discovers that it is 2035. The last thing he can recall is his work for a corporation that created robotized systems.
1680. The Deserter,"1945: The last days of the war. In a remote mountain hut, Anton, a deserted SS man, and Hannah, a Jewish woman, meet. From distrust, feelings develop between the two. But the danger is ever present. For the two, the war is far from over."
1681. Mukadderat,After the loss of her husband Sultan wants to remarry. Thus she finds herself in a new way.
1682. Seeds,"A Mohawk woman is hired as a social media influencer but gets caught in a deadly cat-and-mouse game, as she's forced to go to war to preserve her people's heritage from corporate interests."
1683. Tempting,A titillating story about a group of five macho dancers navigating their own lives and the women who would do anything to keep them by their side.
1684. No Reception,"After being stranded in the wilderness with nothing but his hand sanitizer, a posh city dweller gets caught up in a longstanding feud between two forest hermits."
"1685. The Way, My Way","Based on the best selling Camino memoir, The Way, My Way, written by Bill Bennett, the film documents one man's journey along the Camino de Santiago, searching for meaning, not realizing it was right in front of him, one step at a time."
1686. #AMFAD: All My Friends Are Dead,"A group of college friends rent an Airbnb for the biggest music festival of the year. A weekend of partying quickly takes a turn, as the group is murdered one by one."
1687. Shark Warning,"Two decades later, a man returns to his hometown after a great white shark killed his brother. When the shark resurfaces and claims more victims, he forms alliances to hunt down and eliminate the predator once and for all."
1688. Quiet Life,"Refugee family in Sweden faces trauma after youngest daughter falls into unexplained coma when asylum denied. Parents struggle to find cure, resilience tested amid difficult circumstances."
1689. Shakhahaari,Centers on the unexpected intertwining of innocent lives leading to a murder mystery in a vegetarian restaurant run by Chef Subbanna.
1690. Haunted Heart,"When Alex joins the team of a boutique seaside restaurant, sexual tensions rise as she falls for the enigmatic restaurant manager Max. Blinded by her feelings, the relationship slowly slides into a harrowing tale of survival."
1691. Swatantrya Veer Savarkar,"The life journey of Indian freedom fighter and reformer Vinayak Damodar Savarkar, popularly known as Veer Savarkar."
1692. Christmas in the Spotlight,"A famous singer and a football star begin dating, but their budding romance faces intense public scrutiny, forcing them to decide if their connection is real or merely a publicity stunt by the end of the Christmas season."
1693. Double Ismart,A notorious criminal with a terminal brain tumor hires a rogue scientist to transfer his mind into the body of a street-smart renegade with a unique memory transfer port in his brain.
1694. Linda,"Self-assured Linda begins working for a wealthy Buenos Aires family. Her charm ignites sexual tension, exposing the fragility beneath their happy facade."
1695. The Shamrock Spitfire,"The story of Irish fighter pilot Brendan ""Paddy"" Finucane, who at the age of just 21, became the youngest ever wing commander in the Royal Air Force, and one of its greatest and most celebrated fighter aces during World War II."
1696. My Valentine Wedding,"Krystal gets swept off her feet on Valentine's Day, but when her unofficial boyfriend returns, she must decide where her heart lies before she misses out on true love."
1697. Ferry 2,"After losing his drug empire, Ferry Bouman seems to have found peace away from Brabant's underworld. Why would he put it all on the line and come back?"
1698. Passport to Love,"A successful international travel writer, Nicole, has scored a dream seaside rental to research her newest vacation article only to discover it has accidentally been booked also by Kade, a marketing rep for a competing travel magazine."
